06,HARYANA,15,Bahadurgarh,City,170426,91736,78690,20374,11420,8954,132108,75714,56394,858,784,88.04,94.27,80.87
06,HARYANA,09,Jind,City,166225,88561,77664,18825,10280,8545,123267,71129,52138,877,831,83.63,90.86,75.43
06,HARYANA,04,Thanesar,City,154962,83655,71307,15594,8401,7193,119482,67646,51836,852,856,85.73,89.89,80.85
06,HARYANA,05,Kaithal,City,144633,76657,67976,16690,9156,7534,103329,59162,44167,887,823,80.76,87.65,73.07
06,HARYANA,17,Rewari,City,140864,74689,66175,15986,8958,7028,110205,61933,48272,886,785,88.25,94.22,81.61
06,HARYANA,21,Palwal,UA,131121,69560,61561,16196,8903,7293,92964,53250,39714,885,819,80.89,87.79,73.18
07,NCT OF DELHI,99,Delhi,UA,16314838,8739213,7575625,1912253,1023534,888719,12448848,7025273,5423575,867,868,86.43,91.05,81.11
08,RAJASTHAN,12,Jaipur,City,3073350,1619280,1454070,378788,204320,174468,2272724,1282140,990584,898,854,84.34,90.61,77.41
08,RAJASTHAN,15,Jodhpur,UA,1137815,599332,538483,140703,74225,66478,807733,462139,345594,898,896,81.01,88.01,73.22
08,RAJASTHAN,29,Kota,City,1001365,529795,471570,118139,62958,55181,738795,422767,316028,890,876,83.65,90.56,75.90
08,RAJASTHAN,03,Bikaner,City,647804,340894,306910,82264,43280,38984,451663,259367,192296,900,901,79.86,87.15,71.77
08,RAJASTHAN,21,Ajmer,UA,551360,283340,268020,60701,32251,28450,428795,234020,194775,946,882,87.39,93.20,81.30
08,RAJASTHAN,32,Udaipur,UA,475150,246856,228294,49966,26724,23242,384481,210017,174464,925,870,90.43,95.41,85.08
08,RAJASTHAN,24,Bhilwara,City,360009,187952,172057,45832,24215,21617,264762,150306,114456,915,893,84.27,91.80,76.08
08,RAJASTHAN,06,Alwar,UA,341383,180680,160703,38359,20876,17483,261057,149433,111624,889,837,86.15,93.51,77.94
08,RAJASTHAN,07,Bharatpur,UA,252606,134348,118258,31617,17288,14329,181423,105814,75609,880,829,82.10,90.39,72.75
08,RAJASTHAN,01,Ganganagar,UA,250041,134435,115606,27850,15311,12539,183757,105504,78253,860,819,82.70,88.57,75.92
08,RAJASTHAN,13,Sikar,UA,244563,126964,117599,32967,17686,15281,163461,94468,68993,926,864,77.25,86.45,67.43
08,RAJASTHAN,20,Pali,City,229956,120008,109948,30566,16257,14309,156858,92705,64153,916,880,78.67,89.35,67.08
08,RAJASTHAN,22,Tonk,City,165363,84927,80436,23122,12280,10842,98819,57170,41649,947,883,69.47,78.70,59.85
08,RAJASTHAN,21,Kishangarh,City,155019,80343,74676,21765,11602,10163,106809,61313,45496,929,876,80.15,89.19,70.52
08,RAJASTHAN,21,Beawar,UA,151472,77882,73590,18406,9801,8605,114307,63648,50659,945,878,85.90,93.49,77.95
08,RAJASTHAN,02,Total Hanumangarh,City,151104,79817,71287,17947,9709,8238,104285,59883,44402,893,848,78.32,85.42,70.42
08,RAJASTHAN,08,Dhaulpur,UA,133229,71481,61748,18361,10075,8286,88107,51933,36174,864,822,76.70,84.57,67.66
08,RAJASTHAN,10,Gangapur City,UA,130030,68643,61387,17591,9502,8089,89712,53736,35976,894,851,79.79,90.86,67.50
08,RAJASTHAN,10,Sawai Madhopur,City,120998,63223,57775,15286,8170,7116,85472,50438,35034,914,871,80.85,91.62,69.16
08,RAJASTHAN,04,Churu,UA,120147,61936,58211,16368,8532,7836,77972,46198,31774,940,918,75.13,86.51,63.07
08,RAJASTHAN,05,Jhunjhunun,City,118966,61906,57060,16563,8887,7676,76183,44962,31221,922,864,74.40,84.80,63.22
08,RAJASTHAN,30,Baran,City,118157,61360,56797,14845,7842,7003,83879,48209,35670,926,893,81.19,90.08,71.64
08,RAJASTHAN,28,Chittaurgarh,City,116409,60229,56180,14067,7473,6594,86945,48624,38321,933,882,84.96,92.17,77.28
08,RAJASTHAN,14,Makrana,UA,116245,60080,56165,19504,10230,9274,63437,38039,25398,935,907,65.57,76.31,54.16
08,RAJASTHAN,14,Nagaur,UA,108540,56310,52230,14022,7461,6561,69065,40261,28804,928,879,73.07,82.42,63.07
08,RAJASTHAN,09,Hindaun,City,105690,56178,49512,15451,8345,7106,69108,41993,27115,881,852,76.58,87.79,63.94
