StateCode,StateName,DistrictCode,NameofCity,Level,PopulationPersons,PopulationMales,PopulationFemale,0-6PopulationPersons,0-6PopulationMales,0-6PopulationFemales,LiteratesPersons,LiterateMales,LiteratesFemales,SexRatio,0-6ChildSexRatio,EffLiteracyRatePersons,EffLiteracyRateMales,EffLiteracyRatesFemales
06,HARYANA,06,Karnal UA,UA,"3,03,425","1,60,659","1,42,766","33,321","18,450","14,871","2,32,334","1,28,508","1,03,826",889,806,86.02,90.37,81.18
06,HARYANA,08,Sonipat UA,UA,"2,92,339","1,56,246","1,36,093","32,932","18,457","14,475","2,26,261","1,28,216","98,045",871,784,87.22,93.05,80.62
06,HARYANA,01,Panchkula (M Cl),City,"2,10,175","1,11,622","98,553","22,111","12,024","10,087","1,65,235","90,938","74,297",883,839,87.86,91.31,83.98
06,HARYANA,02,Ambala UA,UA,"2,07,934","1,12,840","95,094","20,687","11,257","9,430","1,67,233","93,215","74,018",843,838,89.31,91.76,86.41
06,HARYANA,13,Bhiwani (M Cl),City,"1,97,662","1,05,372","92,290","22,507","12,444","10,063","1,47,807","84,028","63,779",876,809,84.39,90.42,77.56
06,HARYANA,02,Ambala (M Cl),City,"1,96,216","1,03,533","92,683","19,645","10,713","8,932","1,55,780","85,004","70,776",895,834,88.23,91.58,84.51
06,HARYANA,11,Sirsa (M Cl),City,"1,83,282","96,806","86,476","20,161","11,161","9,000","1,35,435","75,796","59,639",893,806,83.03,88.50,76.98
06,HARYANA,15,Bahadurgarh (M Cl),City,"1,70,426","91,736","78,690","20,374","11,420","8,954","1,32,108","75,714","56,394",858,784,88.04,94.27,80.87
06,HARYANA,09,Jind (M Cl),City,"1,66,225","88,561","77,664","18,825","10,280","8,545","1,23,267","71,129","52,138",877,831,83.63,90.86,75.43
06,HARYANA,04,Thanesar (M Cl),City,"1,54,962","83,655","71,307","15,594","8,401","7,193","1,19,482","67,646","51,836",852,856,85.73,89.89,80.85
06,HARYANA,05,Kaithal (M Cl),City,"1,44,633","76,657","67,976","16,690","9,156","7,534","1,03,329","59,162","44,167",887,823,80.76,87.65,73.07
06,HARYANA,17,Rewari (M Cl),City,"1,40,864","74,689","66,175","15,986","8,958","7,028","1,10,205","61,933","48,272",886,785,88.25,94.22,81.61
06,HARYANA,21,Palwal UA,UA,"1,31,121","69,560","61,561","16,196","8,903","7,293","92,964","53,250","39,714",885,819,80.89,87.79,73.18
07,NCT OF DELHI,99,Delhi UA,UA,"1,63,14,838","87,39,213","75,75,625","19,12,253","10,23,534","8,88,719","1,24,48,848","70,25,273","54,23,575",867,868,86.43,91.05,81.11
08,RAJASTHAN,12,Jaipur (M Corp.),City,"30,73,350","16,19,280","14,54,070","3,78,788","2,04,320","1,74,468","22,72,724","12,82,140","9,90,584",898,854,84.34,90.61,77.41
08,RAJASTHAN,15,Jodhpur UA,UA,"11,37,815","5,99,332","5,38,483","1,40,703","74,225","66,478","8,07,733","4,62,139","3,45,594",898,896,81.01,88.01,73.22
08,RAJASTHAN,29,Kota (M Corp.),City,"10,01,365","5,29,795","4,71,570","1,18,139","62,958","55,181","7,38,795","4,22,767","3,16,028",890,876,83.65,90.56,75.90
08,RAJASTHAN,03,Bikaner (M Corp.),City,"6,47,804","3,40,894","3,06,910","82,264","43,280","38,984","4,51,663","2,59,367","1,92,296",900,901,79.86,87.15,71.77
08,RAJASTHAN,21,Ajmer UA,UA,"5,51,360","2,83,340","2,68,020","60,701","32,251","28,450","4,28,795","2,34,020","1,94,775",946,882,87.39,93.20,81.30
08,RAJASTHAN,32,Udaipur UA,UA,"4,75,150","2,46,856","2,28,294","49,966","26,724","23,242","3,84,481","2,10,017","1,74,464",925,870,90.43,95.41,85.08
08,RAJASTHAN,24,Bhilwara (M Cl),City,"3,60,009","1,87,952","1,72,057","45,832","24,215","21,617","2,64,762","1,50,306","1,14,456",915,893,84.27,91.80,76.08
08,RAJASTHAN,06,Alwar UA,UA,"3,41,383","1,80,680","1,60,703","38,359","20,876","17,483","2,61,057","1,49,433","1,11,624",889,837,86.15,93.51,77.94
08,RAJASTHAN,07,Bharatpur UA,UA,"2,52,606","1,34,348","1,18,258","31,617","17,288","14,329","1,81,423","1,05,814","75,609",880,829,82.10,90.39,72.75
08,RAJASTHAN,01,Ganganagar UA,UA,"2,50,041","1,34,435","1,15,606","27,850","15,311","12,539","1,83,757","1,05,504","78,253",860,819,82.70,88.57,75.92
08,RAJASTHAN,13,Sikar UA,UA,"2,44,563","1,26,964","1,17,599","32,967","17,686","15,281","1,63,461","94,468","68,993",926,864,77.25,86.45,67.43
08,RAJASTHAN,20,Pali (M Cl),City,"2,29,956","1,20,008","1,09,948","30,566","16,257","14,309","1,56,858","92,705","64,153",916,880,78.67,89.35,67.08
08,RAJASTHAN,22,Tonk (M Cl),City,"1,65,363","84,927","80,436","23,122","12,280","10,842","98,819","57,170","41,649",947,883,69.47,78.70,59.85
08,RAJASTHAN,21,Kishangarh (M Cl),City,"1,55,019","80,343","74,676","21,765","11,602","10,163","1,06,809","61,313","45,496",929,876,80.15,89.19,70.52
08,RAJASTHAN,21,Beawar UA,UA,"1,51,472","77,882","73,590","18,406","9,801","8,605","1,14,307","63,648","50,659",945,878,85.90,93.49,77.95
08,RAJASTHAN,02,Total Hanumangarh (M Cl),City,"1,51,104","79,817","71,287","17,947","9,709","8,238","1,04,285","59,883","44,402",893,848,78.32,85.42,70.42
08,RAJASTHAN,08,Dhaulpur UA,UA,"1,33,229","71,481","61,748","18,361","10,075","8,286","88,107","51,933","36,174",864,822,76.70,84.57,67.66
08,RAJASTHAN,10,Gangapur City UA,UA,"1,30,030","68,643","61,387","17,591","9,502","8,089","89,712","53,736","35,976",894,851,79.79,90.86,67.50
08,RAJASTHAN,10,Sawai Madhopur (M),City,"1,20,998","63,223","57,775","15,286","8,170","7,116","85,472","50,438","35,034",914,871,80.85,91.62,69.16
08,RAJASTHAN,04,Churu UA,UA,"1,20,147","61,936","58,211","16,368","8,532","7,836","77,972","46,198","31,774",940,918,75.13,86.51,63.07
08,RAJASTHAN,05,Jhunjhunun (M Cl),City,"1,18,966","61,906","57,060","16,563","8,887","7,676","76,183","44,962","31,221",922,864,74.40,84.80,63.22
08,RAJASTHAN,30,Baran (M),City,"1,18,157","61,360","56,797","14,845","7,842","7,003","83,879","48,209","35,670",926,893,81.19,90.08,71.64
08,RAJASTHAN,28,Chittaurgarh (M),City,"1,16,409","60,229","56,180","14,067","7,473","6,594","86,945","48,624","38,321",933,882,84.96,92.17,77.28
08,RAJASTHAN,14,Makrana UA,UA,"1,16,245","60,080","56,165","19,504","10,230","9,274","63,437","38,039","25,398",935,907,65.57,76.31,54.16
08,RAJASTHAN,14,Nagaur UA,UA,"1,08,540","56,310","52,230","14,022","7,461","6,561","69,065","40,261","28,804",928,879,73.07,82.42,63.07
08,RAJASTHAN,09,Hindaun (M),City,"1,05,690","56,178","49,512","15,451","8,345","7,106","69,108","41,993","27,115",881,852,76.58,87.79,63.94
08,RAJASTHAN,06,Bhiwadi (M),City,"1,04,883","59,757","45,126","16,884","9,080","7,804","70,987","44,697","26,290",755,859,80.67,88.20,70.44
08,RAJASTHAN,23,Bundi UA,UA,"1,04,457","54,155","50,302","12,320","6,558","5,762","75,778","42,838","32,940",929,879,82.24,90.00,73.96
08,RAJASTHAN,04,Sujangarh (M),City,"1,01,528","52,078","49,450","14,723","7,775","6,948","64,716","37,914","26,802",950,894,74.55,85.58,63.06
08,RAJASTHAN,27,Banswara UA,UA,"1,01,177","51,941","49,236","12,337","6,645","5,692","77,311","42,036","35,275",948,857,87.02,92.80,81.01
09,UTTAR PRADESH,33,Kanpur UA,UA,"29,20,067","15,84,967","13,35,100","2,66,336","1,43,523","1,22,813","22,28,473","12,35,685","9,92,788",842,856,83.98,85.73,81.89
09,UTTAR PRADESH,26,Lucknow UA,UA,"29,01,474","15,18,951","13,82,523","2,89,375","1,52,225","1,37,150","22,12,850","12,00,843","10,12,007",910,901,84.72,87.86,81.26
09,UTTAR PRADESH,09,Ghaziabad UA,UA,"23,58,525","12,56,783","11,01,742","3,08,717","1,67,038","1,41,679","19,22,992","9,92,243","9,30,749",877,848,93.81,91.05,96.95
09,UTTAR PRADESH,15,Agra UA,UA,"17,46,467","9,42,441","8,04,026","2,10,036","1,17,986","92,050","9,92,644","5,70,593","4,22,051",853,780,64.61,69.21,59.28
