WARD_NO,TOT_HH,POP_TOTAL_x,POP_M_x,POP_F_x,POP_SC_x,POP_ST_x,POP_LIT,POP_WORK,OBJECTID,ASS_CONST_,ASS_CONST1,WARD_NAME,POP_M_y,POP_F_y,POP_SC_y,POP_ST_y,POP_TOTAL_y,AREA_SQ_KM,LAT,LON,RESERVATIO
65,9823,35609,17558,18051,1066,222,31205,14776,49.0,157,Malleswaram,Kadu Malleshwar Ward,16970.0,17083.0,612.0,138.0,34053.0,1.36,13.002385425504198,77.5684910900638,Backward Category - A
66,9383,35709,17893,17816,1179,410,30797,14550,50.0,157,Malleswaram,Subramanya Nagar,17876.0,17007.0,1040.0,294.0,34883.0,0.94,13.007040132284901,77.55710898561091,General
67,8667,34574,17397,17177,2388,592,30066,14481,41.0,156,Mahalakshmi Layout,Nagapura,18268.0,17285.0,2520.0,320.0,35553.0,1.79,13.004126157539599,77.5481305165233,Backward Category - A
68,11563,44615,23091,21524,2093,545,36242,19345,42.0,156,Mahalakshmi Layout,Mahalakshimpuram,19202.0,16774.0,1258.0,311.0,35976.0,0.95,13.007349652163802,77.540042587153,Backward Category - B
69,15178,57077,29828,27249,3847,1240,43547,29114,28.0,154,Rajarajeswari Nagar,Laggere,13425.0,11945.0,1403.0,454.0,25370.0,1.58,13.0076873581854,77.5238999866999,General
70,17262,61479,33139,28340,4847,1426,47242,33382,36.0,155,Dasarahalli,Rajagopal Nagar,15691.0,12913.0,2364.0,606.0,28604.0,2.18,13.0061996149424,77.5122492470683,General
71,18438,66314,35787,30527,4305,1515,51019,34123,37.0,155,Dasarahalli,Hegganahalli,16766.0,14123.0,1879.0,527.0,30889.0,1.96,13.0010055251581,77.5009754398035,General
72,16215,62272,33066,29206,4160,1509,48757,27498,21.0,153,Yeshwantpura,Herohalli,10421.0,9247.0,2026.0,549.0,19668.0,7.7,12.982807265775199,77.4871585444258,Backward Category - B
73,17739,68922,36138,32784,5409,1499,54039,31196,29.0,154,Rajarajeswari Nagar,Kottegepalya,15812.0,13288.0,2299.0,431.0,29100.0,5.84,12.982456456869599,77.5140904058987,General
74,11074,43844,22480,21364,7710,543,33583,19666,43.0,156,Mahalakshmi Layout,Shakthi Ganapathi Nagar,17953.0,16577.0,5595.0,366.0,34530.0,0.7,12.995048033120199,77.5315839709294,General (Women)
75,12433,48734,25246,23488,1933,553,38817,20727,44.0,156,Mahalakshmi Layout,Shankar Matt,18802.0,16877.0,1280.0,308.0,35679.0,1.08,12.9999842826119,77.53440776975529,General
76,8489,33236,16934,16302,1022,325,28468,13440,51.0,157,Malleswaram,Gayithri Nagar,18360.0,17029.0,980.0,226.0,35389.0,0.64,12.9974360955686,77.5605137788374,General (Women)
77,8325,33388,17100,16288,3453,463,27542,14716,99.0,164,Gandhi Nagar,Dattatreya Temple,17640.0,16596.0,3351.0,256.0,34236.0,0.71,12.9965554677515,77.5741380029964,General
78,6595,28835,14431,14404,2262,429,24699,10906,66.0,159,Pulakeshi Nagar (SC),Pulikeshinagar,13858.0,14291.0,2474.0,77.0,28149.0,1.72,12.995343537892802,77.6118558337293,General
79,9052,37291,18906,18385,13506,442,29094,16480,79.0,161,C.V. Ramannagar (SC),Sarvagna Nagar,17879.0,17064.0,12221.0,261.0,34943.0,3.66,12.989170028427802,77.63103948112409,Scheduled Caste (Woman)
80,8877,35228,17474,17754,11220,398,29777,15847,80.0,161,C.V. Ramannagar (SC),Hoysala Nagar,18041.0,17849.0,10775.0,220.0,35890.0,2.05,12.9784561074979,77.6387829786122,Scheduled Caste (Woman)
81,15419,57062,29816,27246,6055,761,45604,26336,9.0,151,K.R. Puram,Vijnana Nagar,13218.0,11539.0,3761.0,234.0,24757.0,5.73,12.978492977006303,77.68177012535129,General (Women)
82,13453,49631,27919,21712,6566,1293,37819,25721,167.0,174,Mahadevapura,Garudachar Playa,11371.0,9549.0,3635.0,364.0,20920.0,6.8,12.985900642381198,77.71728282322591,General
83,11423,43942,23604,20338,8138,784,34289,17920,168.0,174,Mahadevapura,Kadugodi,12056.0,10149.0,4557.0,172.0,22205.0,11.88,12.9906877302874,77.75790889520721,General
84,13419,50556,26388,24168,5614,901,38630,22359,169.0,174,Mahadevapura,Hagadur,13523.0,12392.0,3664.0,211.0,25915.0,12.68,12.966070201875599,77.7483647412138,Backward Category - B
85,17755,63083,32888,30195,5430,1078,49025,30091,170.0,174,Mahadevapura,Dodda Nekkundi,11790.0,10226.0,4283.0,343.0,22016.0,12.12,12.968182847121902,77.707823685904,General
86,11051,39768,22555,17213,5390,712,31725,19700,197.0,174,Mahadevapura,Marathahalli,11967.0,10522.0,4126.0,274.0,22489.0,3.1,12.9507430630886,77.6914952440871,General (Women)
87,10044,39926,20925,19001,6793,1113,31509,16457,10.0,151,K.R. Puram,HAL Airport,17594.0,15472.0,5487.0,464.0,33066.0,6.8,12.9565365691412,77.6715015074689,General
88,9741,38251,19425,18826,9311,678,30801,16818,81.0,161,C.V. Ramannagar (SC),Jeevanbhima Nagar,19021.0,17131.0,8116.0,281.0,36152.0,1.89,12.964651638030901,77.6500328479455,Scheduled Caste
89,8806,33793,16989,16804,3861,659,28542,14541,95.0,163,Shanthi Nagar,Jogupalya,17710.0,16901.0,3570.0,661.0,34611.0,0.91,12.973724534752,77.6325939694915,General
90,7771,35090,19627,15463,8566,369,29815,16802,85.0,162,Shivaji Nagar,Halsoor,20526.0,15365.0,6474.0,866.0,35891.0,1.68,12.9797043313289,77.61982213073179,Scheduled Caste
91,7074,32689,16493,16196,2007,157,27045,11471,86.0,162,Shivaji Nagar,Bharathi Nagar,16472.0,16160.0,1613.0,185.0,32632.0,0.78,12.987014409491,77.61104035715141,General
92,7276,37506,19324,18182,2379,152,29424,12723,87.0,162,Shivaji Nagar,Shivaji Nagar,18456.0,17284.0,1438.0,402.0,35740.0,0.43,12.988701675054099,77.6058728426691,Backward Category A (Women)
93,5304,22815,11039,11776,2757,243,19873,9339,88.0,162,Shivaji Nagar,Vasanth Nagar,13250.0,12382.0,2198.0,423.0,25632.0,3.12,12.989131112601699,77.58580469826879,General
94,6599,31208,17306,13902,6377,263,25422,13224,100.0,164,Gandhi Nagar,Gandhinagar,19566.0,15744.0,6153.0,167.0,35310.0,1.93,12.9815648080642,77.57566501293108,General
95,8711,37693,19313,18380,16365,607,27892,16569,101.0,164,Gandhi Nagar,Subhash Nagar,18163.0,17264.0,11378.0,441.0,35427.0,1.32,12.982666801518302,77.5686274619372,Scheduled Caste
96,8693,38110,19481,18629,6637,357,28898,16137,102.0,164,Gandhi Nagar,Okalipuram,18609.0,17266.0,6352.0,287.0,35875.0,0.83,12.982783727218198,77.563816623965,Scheduled Caste (Woman)
97,8253,35721,18163,17558,11005,245,28454,15565,107.0,165,Rajaji Nagar,Dayananda Nagar,17767.0,16828.0,10651.0,170.0,34595.0,0.45,12.9910970569635,77.56419467342421,Scheduled Caste (Woman)
98,8276,32913,16837,16076,1979,184,27169,12836,108.0,165,Rajaji Nagar,Prakash Nagar,18641.0,16824.0,1994.0,140.0,35465.0,0.56,12.993094220509901,77.5582212219401,General
99,8398,33084,16969,16115,2322,361,27496,13728,109.0,165,Rajaji Nagar,Rajaji Nagar,17221.0,16010.0,2175.0,241.0,33231.0,0.86,12.9945988368238,77.5501925896872,Backward Category - A
100,7495,30333,15465,14868,1820,529,25409,12810,103.0,165,Rajaji Nagar,Basaveshwara Nagar,14204.0,12798.0,1236.0,234.0,27002.0,0.84,12.990808444925301,77.5421301173104,Backward Category - A
101,7482,30051,15700,14351,2538,456,24833,12835,104.0,165,Rajaji Nagar,Kamakshipalya,13638.0,12104.0,2004.0,321.0,25742.0,0.91,12.986797570539501,77.5338707039502,General
102,13443,50893,27129,23764,2041,831,39634,24334,38.0,156,Mahalakshmi Layout,Vrisabhavathi Nagar,18654.0,15685.0,1187.0,333.0,34339.0,0.99,12.9897724158581,77.5258790256208,Backward Category A (Women)
103,14168,53532,28684,24848,1959,1138,42442,25022,110.0,166,Govindaraja Nagar,Kaveripura,19274.0,15982.0,924.0,524.0,35256.0,1.64,12.979742267866499,77.5248978783418,Backward Category - A
104,6678,26873,13862,13011,2723,467,22410,11117,111.0,166,Govindaraja Nagar,Govindaraja Nagar,13565.0,12208.0,2278.0,274.0,25773.0,0.77,12.977116412720099,77.53668247995279,Backward Category - A
105,7192,28355,14614,13741,3225,599,23278,12259,112.0,166,Govindaraja Nagar,Agrahara Dasarahalli,14141.0,12716.0,3172.0,433.0,26857.0,0.8,12.9804974028429,77.5415353943762,Backward Category A (Women)
106,6077,24181,12517,11664,2158,678,20292,10519,113.0,166,Govindaraja Nagar,Dr. Raj Kumar Ward,13012.0,11740.0,2111.0,335.0,24752.0,0.99,12.979654172134,77.54847535834259,General
107,9260,36461,19071,17390,1197,510,31031,15995,105.0,165,Rajaji Nagar,Shivanagara,18940.0,17039.0,858.0,271.0,35979.0,0.78,12.9885035896526,77.5495200478752,General
108,8156,33866,17274,16592,1577,301,29178,14002,106.0,165,Rajaji Nagar,Sriramamandir,17348.0,16265.0,905.0,285.0,33613.0,1.06,12.983767309589801,77.5558908790906,Backward Category A (Women)
109,6842,33292,17629,15663,277,185,27525,12158,96.0,164,Gandhi Nagar,Chickpete,17670.0,16028.0,228.0,75.0,33698.0,0.71,12.9706877407971,77.5770978874836,General
110,6423,27504,13999,13505,1890,155,23139,11017,82.0,162,Shivaji Nagar,Sampangiram Nagar,16973.0,16147.0,1503.0,375.0,33120.0,4.45,12.976794572130899,77.5953720295075,Backward Category - A
111,5493,22995,11518,11477,3178,291,20131,9700,89.0,163,Shanthi Nagar,Shantala Nagar,15570.0,14655.0,4033.0,104.0,30225.0,3.99,12.9698666568526,77.6064642945921,General
112,7844,30638,15497,15141,6055,762,25807,13005,90.0,163,Shanthi Nagar,Domlur,17827.0,16876.0,5338.0,295.0,34703.0,1.75,12.9633614843384,77.63804041273158,General (Women)
113,10725,38108,19995,18113,4576,306,31640,18567,75.0,161,C.V. Ramannagar (SC),Konena Agrahara,15479.0,13865.0,4133.0,110.0,29344.0,2.12,12.9557797461543,77.65220473340891,General
114,7734,36916,21259,15657,11469,270,32112,17913,91.0,163,Shanthi Nagar,Agaram,20108.0,15524.0,12434.0,167.0,35632.0,11.26,12.9442634034865,77.6390466853178,Scheduled Caste (Woman)
115,8466,37060,18685,18375,10668,1274,29878,15016,92.0,163,Shanthi Nagar,Vannarpet,17991.0,17541.0,9468.0,1099.0,35532.0,0.74,12.9542092834691,77.61894093987,Scheduled Caste
116,10743,48534,25323,23211,8950,643,36043,20245,93.0,163,Shanthi Nagar,Nilasandra,18953.0,17326.0,4888.0,1365.0,36279.0,0.54,12.9511599438781,77.614644130188,Scheduled Tribe
117,9465,42095,22237,19858,6246,649,34332,18144,94.0,163,Shanthi Nagar,Shanthi Nagar,18672.0,17754.0,4113.0,650.0,36426.0,2.7,12.957323654896099,77.603705049467,General (Women)
118,5953,28784,14447,14337,10840,297,19257,12509,134.0,169,Chickpet,Sudham Nagara,16552.0,15650.0,8344.0,303.0,32202.0,1.01,12.9593349100093,77.586192712433,Scheduled Caste (Woman)
119,5485,27076,14156,12920,1990,150,21471,9850,135.0,169,Chickpet,Dharmaraya Swamy Temple,18193.0,15006.0,2037.0,108.0,33199.0,1.1,12.963133327422,77.580510578405,Backward Category - A
120,8652,37344,19213,18131,5438,446,28524,14910,97.0,164,Gandhi Nagar,Cottonpete,19048.0,17534.0,3115.0,305.0,36582.0,0.76,12.9703588123314,77.5662871520615,Backward Category A (Women)
121,9061,37354,19156,18198,4561,981,29240,15957,98.0,164,Gandhi Nagar,Binnipete,17447.0,16499.0,16499.0,692.0,33946.0,0.77,12.9717984207048,77.5590969095086,Backward Category A (Women)
122,10051,40032,20374,19658,1073,2395,28755,18454,119.0,167,Vijaya Nagar,Kempapura Agrahara,17355.0,16381.0,894.0,914.0,33736.0,0.36,12.9723126235624,77.5554793838085,Backward Category A (Women)
123,9943,40331,20905,19426,1897,606,33360,17162,120.0,167,Vijaya Nagar,Vijayanagar,19009.0,17068.0,1297.0,258.0,36077.0,0.73,12.972092554261401,77.54704383467221,General
124,9068,37347,18944,18403,4817,851,29140,16097,121.0,167,Vijaya Nagar,Hosahalli,16662.0,15441.0,3613.0,403.0,32103.0,0.89,12.9676691462426,77.5438119924571,Backward Category - A
125,5423,21171,10838,10333,748,215,18391,9230,114.0,166,Govindaraja Nagar,Marenahalli,10430.0,9638.0,698.0,391.0,20068.0,0.69,12.9718892616902,77.53284364410071,Backward Category A (Women)
126,7716,29319,15225,14094,1468,356,24628,12938,115.0,166,Govindaraja Nagar,Maruthi Mandir ward,11421.0,10363.0,1072.0,285.0,21784.0,0.79,12.9667105528406,77.52846435197591,General
127,11125,43729,22625,21104,2362,797,34105,19206,116.0,166,Govindaraja Nagar,Mudalapalya,12816.0,11671.0,854.0,529.0,24487.0,0.98,12.969239215188502,77.521640582415,Backward Category A (Women)
128,8255,35780,18239,17541,3020,490,26638,14997,117.0,166,Govindaraja Nagar,Nagarabhavi,10408.0,9861.0,1343.0,123.0,20269.0,1.6,12.9558427307937,77.519366146173,General
129,17410,68132,35366,32766,7659,1819,54391,28464,188.0,154,Rajarajeswari Nagar,Jnana Bharathi ward,13758.0,12131.0,3732.0,649.0,25889.0,12.19,12.959305800795601,77.5017879872547,Backward Category - B
130,14511,58199,30069,28130,7461,1365,43375,24050,18.0,153,Yeshwantpura,Ullalu,10468.0,9864.0,3751.0,207.0,20332.0,8.92,12.946716144953498,77.4846181877041,Backward Category - A
131,10285,42785,22051,20734,5309,704,29956,21144,118.0,166,Govindaraja Nagar,Nayandahalli,11987.0,10891.0,3499.0,379.0,22878.0,2.07,12.945140876440599,77.5199607392573,General (Women)
132,10576,41487,21447,20040,2268,424,34583,17295,122.0,167,Vijaya Nagar,Attiguppe,13989.0,12817.0,1318.0,237.0,26806.0,1.39,12.9581117077057,77.52930892828059,General
133,8456,35113,17900,17213,4082,807,28220,14292,123.0,167,Vijaya Nagar,Hampi Nagar,15716.0,14639.0,3502.0,414.0,30355.0,1.11,12.959949194647,77.5376145866468,General
134,10647,49484,25763,23721,2456,632,36583,20011,124.0,167,Vijaya Nagar,Bapuji Nagar,18996.0,17238.0,1564.0,312.0,36234.0,0.68,12.9579760999735,77.5432214136966,Backward Category - A
