OBJECTID,ASS_CONST_,ASS_CONST1,WARD_NO,WARD_NAME,POP_M,POP_F,POP_SC,POP_ST,POP_TOTAL,AREA_SQ_KM,LAT,LON,RESERVATIO,TOT_HH
100.0,164,Gandhi Nagar,94.0,Gandhinagar,19566.0,15744.0,6153.0,167.0,35310.0,1.93,12.9815648080642,77.5756650129311,General,
101.0,164,Gandhi Nagar,95.0,Subhash Nagar,18163.0,17264.0,11378.0,441.0,35427.0,1.32,12.9826668015183,77.5686274619372,Scheduled Caste,
102.0,164,Gandhi Nagar,96.0,Okalipuram,18609.0,17266.0,6352.0,287.0,35875.0,0.83,12.9827837272182,77.563816623965,Scheduled Caste (Woman),
103.0,165,Rajaji Nagar,100.0,Basaveshwara Nagar,14204.0,12798.0,1236.0,234.0,27002.0,0.84,12.9908084449253,77.5421301173104,Backward Category - A,
104.0,165,Rajaji Nagar,101.0,Kamakshipalya,13638.0,12104.0,2004.0,321.0,25742.0,0.91,12.9867975705395,77.5338707039502,General,
105.0,165,Rajaji Nagar,107.0,Shivanagara,18940.0,17039.0,858.0,271.0,35979.0,0.78,12.9885035896526,77.5495200478752,General,
106.0,165,Rajaji Nagar,108.0,Sriramamandir,17348.0,16265.0,905.0,285.0,33613.0,1.06,12.9837673095898,77.5558908790906,Backward Category A (Women),
107.0,165,Rajaji Nagar,97.0,Dayananda Nagar,17767.0,16828.0,10651.0,170.0,34595.0,0.45,12.9910970569635,77.5641946734242,Scheduled Caste (Woman),
108.0,165,Rajaji Nagar,98.0,Prakash Nagar,18641.0,16824.0,1994.0,140.0,35465.0,0.56,12.9930942205099,77.5582212219401,General,
109.0,165,Rajaji Nagar,99.0,Rajaji Nagar,17221.0,16010.0,2175.0,241.0,33231.0,0.86,12.9945988368238,77.5501925896872,Backward Category - A,
110.0,166,Govindaraja Nagar,103.0,Kaveripura,19274.0,15982.0,924.0,524.0,35256.0,1.64,12.9797422678665,77.5248978783418,Backward Category - A,
111.0,166,Govindaraja Nagar,104.0,Govindaraja Nagar,13565.0,12208.0,2278.0,274.0,25773.0,0.77,12.9771164127201,77.5366824799528,Backward Category - A,
112.0,166,Govindaraja Nagar,105.0,Agrahara Dasarahalli,14141.0,12716.0,3172.0,433.0,26857.0,0.8,12.9804974028429,77.5415353943762,Backward Category A (Women),
113.0,166,Govindaraja Nagar,106.0,Dr. Raj Kumar Ward,13012.0,11740.0,2111.0,335.0,24752.0,0.99,12.979654172134,77.5484753583426,General,
114.0,166,Govindaraja Nagar,125.0,Marenahalli,10430.0,9638.0,698.0,391.0,20068.0,0.69,12.9718892616902,77.5328436441007,Backward Category A (Women),
115.0,166,Govindaraja Nagar,126.0,Maruthi Mandir ward,11421.0,10363.0,1072.0,285.0,21784.0,0.79,12.9667105528406,77.5284643519759,General,
