OBJECTID,ASS_CONST_,ASS_CONST1,WARD_NO,WARD_NAME,TOT_HH,POP_TOTAL,POP_M,POP_F,POP_SC,POP_ST,POP_LIT,POP_WORK,AREA_SQ_KM,LAT,LON,RESERVATIO
47,157,Malleswaram,45,Malleswaram,8503,34196,17527,16669,2907,612,28811,13572,1.81,13.01407353,77.56167321,Backward Category - A
59,158,Hebbal,46,Jayachamarajendra Nagar,7696,31449,16046,15403,2633,284,26399,12301,0.89,13.01717162,77.59597577,General
62,159,Pulakeshi Nagar (SC),47,Devara Jeevanahalli,8941,42135,21936,20199,7645,418,28559,16403,1.37,13.01545314,77.60275251,Scheduled Caste
63,159,Pulakeshi Nagar (SC),48,Muneshwara Nagar,7419,35814,18235,17579,7118,425,25356,12555,0.48,13.01416004,77.61097854,Scheduled Caste (Woman)
73,160,Sarvagna Nagar,49,Lingarajapura,8850,37955,19056,18899,6579,1419,29653,14916,0.89,13.00994594,77.62697185,General (Women)
76,161,C.V. Ramannagar (SC),50,Benniganahalli,12384,49094,26406,22688,10790,1225,37912,22549,4.92,12.99950168,77.65170429,Scheduled Caste
4,151,K.R. Puram,51,Vijnanapura,11087,46159,23667,22492,10819,755,36584,18945,2.05,13.00606326,77.6695653,Scheduled Caste
187,151,K.R. Puram,52,K R Puram,8961,35168,18081,17087,3563,933,28524,14711,5.12,13.0177984,77.69844406,General
5,151,K.R. Puram,53,Basavanapura,11936,48585,25140,23445,7476,1008,36707,19676,6.28,13.01684703,77.71545647,General
6,151,K.R. Puram,54,Hudi,12579,50191,28201,21990,6964,1132,38041,23792,15.3,13.02237552,77.70549333,Backward Category - A
7,151,K.R. Puram,55,Devasandra,8638,33946,18302,15644,4851,771,26371,15274,3.52,13.00179735,77.68912159,Backward Category - B (Woman)
8,151,K.R. Puram,56,A Narayanapura,11039,43443,22637,20806,8354,622,34423,18226,2.15,12.99447441,77.67258266,Backward Category - A
77,161,C.V. Ramannagar (SC),57,C V Raman Nagar,16710,58815,30553,28262,4516,943,46673,27027,3.58,12.9839497,77.66520285,Backward Category - A
78,161,C.V. Ramannagar (SC),58,New Tippasandara,12200,43983,22819,21164,4473,794,35010,20369,3.34,12.97650365,77.65679106,General (Women)
74,160,Sarvagna Nagar,59,Maruthi Seva Nagar,10113,40362,19936,20426,10088,353,33359,16327,2.37,12.99992108,77.63008062,Scheduled Caste
64,159,Pulakeshi Nagar (SC),60,Sagayarapuram,7340,35334,17533,17801,9985,336,26064,14167,0.77,13.00557712,77.61686595,Scheduled Caste
65,159,Pulakeshi Nagar (SC),61,S K Garden,7941,38050,19413,18637,6497,541,27268,13916,1.31,13.00532763,77.60705799,Scheduled Caste (Woman)
83,162,Shivaji Nagar,62,Ramaswamy Palya,7530,34394,17305,17089,8666,268,26870,13349,0.83,13.00597603,77.59907664,Scheduled Caste
84,162,Shivaji Nagar,63,Jayamahal,4808,21728,10720,11008,3297,225,17958,8297,1.44,12.99510671,77.59993101,General (Women)
48,157,Malleswaram,64,Rajamahal Guttahalli,7641,31118,15502,15616,3604,402,26172,12586,0.73,13.00137214,77.57906018,General (Women)
49,157,Malleswaram,65,Kadu Malleshwar Ward,9823,35609,17558,18051,1066,222,31205,14776,1.36,13.00238543,77.56849109,Backward Category - A
50,157,Malleswaram,66,Subramanya Nagar,9383,35709,17893,17816,1179,410,30797,14550,0.94,13.00704013,77.55710899,General
41,156,Mahalakshmi Layout,67,Nagapura,8667,34574,17397,17177,2388,592,30066,14481,1.79,13.00412616,77.54813052,Backward Category - A
42,156,Mahalakshmi Layout,68,Mahalakshimpuram,11563,44615,23091,21524,2093,545,36242,19345,0.95,13.00734965,77.54004259,Backward Category - B
28,154,Rajarajeswari Nagar,69,Laggere,15178,57077,29828,27249,3847,1240,43547,29114,1.58,13.00768736,77.52389999,General
36,155,Dasarahalli,70,Rajagopal Nagar,17262,61479,33139,28340,4847,1426,47242,33382,2.18,13.00619961,77.51224925,General
37,155,Dasarahalli,71,Hegganahalli,18438,66314,35787,30527,4305,1515,51019,34123,1.96,13.00100553,77.50097544,General
21,153,Yeshwantpura,72,Herohalli,16215,62272,33066,29206,4160,1509,48757,27498,7.7,12.98280727,77.48715854,Backward Category - B
29,154,Rajarajeswari Nagar,73,Kottegepalya,17739,68922,36138,32784,5409,1499,54039,31196,5.84,12.98245646,77.51409041,General
43,156,Mahalakshmi Layout,74,Shakthi Ganapathi Nagar,11074,43844,22480,21364,7710,543,33583,19666,0.7,12.99504803,77.53158397,General (Women)
44,156,Mahalakshmi Layout,75,Shankar Matt,12433,48734,25246,23488,1933,553,38817,20727,1.08,12.99998428,77.53440777,General
51,157,Malleswaram,76,Gayithri Nagar,8489,33236,16934,16302,1022,325,28468,13440,0.64,12.9974361,77.56051378,General (Women)
99,164,Gandhi Nagar,77,Dattatreya Temple,8325,33388,17100,16288,3453,463,27542,14716,0.71,12.99655547,77.574138,General
66,159,Pulakeshi Nagar (SC),78,Pulikeshinagar,6595,28835,14431,14404,2262,429,24699,10906,1.72,12.99534354,77.61185583,General
79,161,C.V. Ramannagar (SC),79,Sarvagna Nagar,9052,37291,18906,18385,13506,442,29094,16480,3.66,12.98917003,77.63103948,Scheduled Caste (Woman)
80,161,C.V. Ramannagar (SC),80,Hoysala Nagar,8877,35228,17474,17754,11220,398,29777,15847,2.05,12.97845611,77.63878298,Scheduled Caste (Woman)
9,151,K.R. Puram,81,Vijnana Nagar,15419,57062,29816,27246,6055,761,45604,26336,5.73,12.97849298,77.68177013,General (Women)
167,174,Mahadevapura,82,Garudachar Playa,13453,49631,27919,21712,6566,1293,37819,25721,6.8,12.98590064,77.71728282,General
168,174,Mahadevapura,83,Kadugodi,11423,43942,23604,20338,8138,784,34289,17920,11.88,12.99068773,77.7579089,General
169,174,Mahadevapura,84,Hagadur,13419,50556,26388,24168,5614,901,38630,22359,12.68,12.9660702,77.74836474,Backward Category - B
170,174,Mahadevapura,85,Dodda Nekkundi,17755,63083,32888,30195,5430,1078,49025,30091,12.12,12.96818285,77.70782369,General
197,174,Mahadevapura,86,Marathahalli,11051,39768,22555,17213,5390,712,31725,19700,3.1,12.95074306,77.69149524,General (Women)
