WARD_NO,TOT_HH,POP_TOTAL,POP_M,POP_F,POP_SC,POP_ST,POP_LIT,POP_WORK
0120,8652,37344,19213,18131,5438,446,28524,14910
0121,9061,37354,19156,18198,4561,981,29240,15957
0122,10051,40032,20374,19658,1073,2395,28755,18454
0123,9943,40331,20905,19426,1897,606,33360,17162
0124,9068,37347,18944,18403,4817,851,29140,16097
0125,5423,21171,10838,10333,748,215,18391,9230
0126,7716,29319,15225,14094,1468,356,24628,12938
0127,11125,43729,22625,21104,2362,797,34105,19206
0128,8255,35780,18239,17541,3020,490,26638,14997
0129,17410,68132,35366,32766,7659,1819,54391,28464
0130,14511,58199,30069,28130,7461,1365,43375,24050
0131,10285,42785,22051,20734,5309,704,29956,21144
0132,10576,41487,21447,20040,2268,424,34583,17295
0133,8456,35113,17900,17213,4082,807,28220,14292
0134,10647,49484,25763,23721,2456,632,36583,20011
0135,7273,37599,19364,18235,163,89,24296,13034
0136,7751,38639,19773,18866,6221,333,26509,14498
0137,7549,36039,18319,17720,13639,458,26599,13644
0138,4896,24801,12533,12268,13039,187,18655,9579
0139,5903,29344,15128,14216,10480,349,20304,11421
0140,7500,32213,16436,15777,1214,525,26545,12991
0141,9246,38825,19790,19035,2118,1480,29527,16191
0142,8643,34666,17687,16979,1366,327,29790,14022
0143,7361,32462,16316,16146,1766,346,27250,12345
0144,7396,34879,17622,17257,6803,751,24498,14559
0145,8948,38309,19813,18496,3482,408,31305,15851
0146,7229,30667,15786,14881,5425,510,23587,12411
0147,8236,34299,17717,16582,9039,1082,26265,14153
0148,12575,47004,24717,22287,7231,953,39133,21409
0149,14256,54625,28959,25666,8734,782,41368,23100
0150,22368,80180,44031,36149,9060,1844,61305,42330
0151,9719,38316,19397,18919,4943,864,31793,18350
0152,10933,39997,21788,18209,3402,463,33075,19939
0153,8427,38151,19276,18875,4619,1082,29730,15662
0154,8624,32640,16222,16418,1022,415,28331,14346
0155,9483,36982,18870,18112,1522,573,30322,15339
0156,10574,41379,21222,20157,748,886,33689,17521
0157,8668,34653,17967,16686,3161,672,26789,15794
0158,11676,45928,24007,21921,4267,781,33862,20835
0159,10168,40771,21051,19720,3554,751,33011,16631
0160,14408,56897,29439,27458,3853,1535,45755,24660
0161,12122,46805,25173,21632,1889,530,37625,19699
